filepath,relative_path,dataset,group_id,duration_seconds,approx_L5_relative_energy,approx_L5_shannon_entropy,approx_L5_mean,approx_L5_std,approx_L5_median,approx_L5_p10,approx_L5_p90,detail_L5_relative_energy,detail_L5_shannon_entropy,detail_L5_mean,detail_L5_std,detail_L5_median,detail_L5_p10,detail_L5_p90,detail_L4_relative_energy,detail_L4_shannon_entropy,detail_L4_mean,detail_L4_std,detail_L4_median,detail_L4_p10,detail_L4_p90,detail_L3_relative_energy,detail_L3_shannon_entropy,detail_L3_mean,detail_L3_std,detail_L3_median,detail_L3_p10,detail_L3_p90,detail_L2_relative_energy,detail_L2_shannon_entropy,detail_L2_mean,detail_L2_std,detail_L2_median,detail_L2_p10,detail_L2_p90,detail_L1_relative_energy,detail_L1_shannon_entropy,detail_L1_mean,detail_L1_std,detail_L1_median,detail_L1_p10,detail_L1_p90
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,Multiclass_Drone_Audio\unknown\1-40730-A-10.wav,al_emadi,1-40730-A-10,1.0216875,0.003988631992588689,6.269223213195801,0.0062217898448444706,0.05910465801830827,0.0039778396021574736,-0.03773766607046127,0.050653353333473206,0.0010781163562813376,6.884740829467773,0.0011006178962218599,0.030878761339993094,0.000804355920990929,-0.030032378062605856,0.0330828182399273,0.4630360212403939,6.860570907592773,0.0018892867636286401,0.4587931939896801,0.00032034348987508565,-0.24248514026403425,0.23017389625310905,0.44219390681101295,7.73845911026001,-0.007679589434888616,0.3190797679272882,-0.0008568356861360371,-0.22583833187818525,0.20520868897438047,0.08722086334811234,10.32132625579834,5.2658738667040955e-05,0.10057471848275389,-1.882442484202329e-05,-0.11915440335869788,0.1226302944123745,0.002482460251610811,10.408499717712402,-6.708004905298613e-06,0.012018383655802278,2.357037828915054e-06,-0.01049741180613637,0.010682091116905214
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,Multiclass_Drone_Audio\unknown\3-71964-A-44.wav,al_emadi,3-71964-A-44,0.95975,0.004464216722512354,7.665570259094238,-0.00012571254099732543,0.03017504283942285,-0.0005757026956416667,-0.03689911141991615,0.03345071971416475,0.0002444096541242756,4.205197811126709,-0.00023228791794704633,0.007056722271062806,-9.44184503168799e-05,-0.0034376092255115507,0.003279384272173048,0.005374516059131287,6.400601863861084,0.0003736362508333501,0.023738892300297,-1.1957436527154641e-05,-0.003924700664356351,0.0051201453898102045,0.3223178336911299,7.150156497955322,0.0028826286407400725,0.13090968220330385,8.73576536832843e-05,-0.009983543585985896,0.014804163202643399,0.6667352812505621,7.894463062286377,3.056026882660637e-05,0.13364911026173476,-1.828647145885043e-05,-0.011576766986399886,0.012658455967903128,0.0008637426225401068,8.174917221069336,2.187534315235318e-05,0.0034075842676821112,-1.308750142925419e-06,-0.0004417288728291169,0.0004632730531739084
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,Multiclass_Drone_Audio\unknown\4-161099-B-473.wav,al_emadi,4-161099-B-473,1.0216875,0.10039228120744509,7.9282965660095215,-0.013913123157688115,0.21916405740152164,-0.012729760259389877,-0.28460423052310946,0.2527914583683014,0.39180899027516103,7.888891220092773,0.015467840399191503,0.4335642909945052,0.026013427414000034,-0.5598192751407624,0.5568598330020905,0.3495605255005114,8.792543411254883,0.0024788130423763254,0.2935950625671625,-0.00020359054178697988,-0.3605011820793152,0.36648399531841286,0.1157131578337071,9.765822410583496,0.0024373889078117437,0.12022936273775114,-0.0004661749117076397,-0.13670214414596557,0.1511685743927955,0.03889853754931221,10.6326904296875,0.000235162586441014,0.04946866323791286,0.0005296983581501991,-0.05863790027797222,0.058601212128996855,0.003626507633863119,11.455300331115723,2.711316800618253e-06,0.01069889762294325,-0.00012324204726610333,-0.012184838019311427,0.012275938130915166
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,Multiclass_Drone_Audio\unknown\4-188191-A-293.wav,al_emadi,4-188191-A-293,1.0216875,0.014078461234728144,5.456525802612305,-0.0002492544598280328,0.013839779806925323,-0.00015692575107095763,-0.007083222642540931,0.007878027111291885,0.48381405156139057,4.520968437194824,0.0012771596690232083,0.08113485300528725,-1.0583765288174618e-05,-0.030774313025176525,0.01718286313116551,0.44668483023302746,6.61132287979126,-0.0002127335791168725,0.055863729331198535,7.470135869880323e-06,-0.02031743861734867,0.021956676803529314,0.00938192940973493,7.2971930503845215,8.84504192471636e-05,0.005762789796226163,1.045796381049513e-06,-0.0025293191894888876,0.002155207423493265,0.033690424149815844,7.695645332336426,0.00011467285000195762,0.007748249325981227,4.05113701162918e-06,-0.0026241481071338055,0.002660297998227182,0.012350303411303075,7.734461784362793,-7.260972484479663e-06,0.0033232420261620934,-1.2582494832713564e-06,-0.0008519279828760772,0.0008810995670501145
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_52-bebop_002_.wav,al_emadi,mixed_52-bebop_002,1.024,0.5808732317784373,7.617040634155273,0.02799159230683775,0.2465562347835476,0.010107193142175674,-0.26491878330707547,0.30740111768245704,0.13711502483753182,7.358897686004639,0.009458536509056878,0.12018715182606664,0.005715813022106886,-0.10442544594407081,0.14620290398597718,0.044400521045716304,8.820680618286133,-5.291789425380256e-05,0.04917513812656524,0.0011282287305220962,-0.061933740973472595,0.0601201206445694,0.05905629487203298,9.95604133605957,0.0002856076904594615,0.04038087600684083,-6.107613444328308e-05,-0.051999370008707045,0.05259427055716514,0.10726322832179587,10.912283897399902,1.5056652031903196e-05,0.038617851940307646,0.0004409716639202088,-0.04866949394345284,0.04940843060612679,0.07129169914448573,11.918591499328613,-8.248945086430722e-05,0.022299950864019917,0.00013039882469456643,-0.028253634460270405,0.028794792480766773
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,Multiclass_Drone_Audio\membo_1\Membo_1_043-membo_001_.wav,al_emadi,Membo_1_043-membo_001,1.024,0.35627151063978224,8.392424583435059,-0.0013598681410291681,0.08748662261827238,-0.009286992251873016,-0.11937804967164993,0.12173390686511994,0.005543839355154909,7.98969841003418,-1.090706138913649e-05,0.010914621029071151,0.00012276790948817506,-0.013714716769754887,0.013838100247085098,0.07302829969629365,8.99091911315918,0.00028663389262972914,0.02839373687075238,-0.0004063761734869331,-0.03588022291660309,0.037410080432891846,0.121404738872216,9.914762496948242,0.0004222998859246526,0.02606523293666913,-0.0002616843266878277,-0.03237356692552566,0.03360498622059822,0.21259538484121704,10.743844985961914,0.00013594748344279825,0.02447824145463559,0.0005833437899127603,-0.030501498654484746,0.030115277320146565,0.23115622659533616,11.833115577697754,2.1078169732071984e-07,0.01807954422455061,0.00010261755960527807,-0.022834337316453457,0.02252958994358778
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,Multiclass_Drone_Audio\bebop_1\mixed_45-bebop_002_.wav,al_emadi,mixed_45-bebop_002,1.024,0.7460603883589595,7.5054121017456055,0.003781186275456868,0.26454560789106163,0.015554309356957674,-0.31888640224933623,0.29733906686306,0.024900732007337882,7.870067119598389,0.00030224797844345664,0.0483343046141743,0.002209524216596037,-0.057596689090132706,0.055630912259221094,0.014922375174024288,9.007329940795898,0.00016562307175417448,0.02682033128921157,-4.677778633777052e-05,-0.034284237772226334,0.03364589810371399,0.05320861392561311,9.945115089416504,0.0005106060960923602,0.03605807911279886,0.0002293366560479626,-0.045296159386634824,0.04661844968795775,0.09566410636905961,10.907251358032227,4.463460035223206e-05,0.034311406271294496,-0.00015992933185771108,-0.044877244532108305,0.04387060850858689,0.06524378416500566,11.911179542541504,-8.273185593879703e-05,0.020070349284196137,-0.00020580081036314368,-0.02537298295646906,0.025256332010030746
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,Multiclass_Drone_Audio\unknown\2-104952-A-164.wav,al_emadi,2-104952-A-164,0.95975,0.43910272900423325,7.869757652282715,-0.0012144207131462926,0.10620018720949413,0.0012528590159490705,-0.13446407914161682,0.13451985120773316,0.47628038726386457,7.995977401733398,-0.0023237257319662346,0.11058751276879292,-0.0015199879417195916,-0.1454043596982956,0.14015319645404817,0.0740043971222515,8.780611038208008,-0.0005364487444966643,0.031260862817018134,0.0008066425216384232,-0.04091440141201019,0.03781779482960701,0.007642048556850131,9.772687911987305,4.5545326983584074e-05,0.007155212768279815,-1.8139107851311564e-05,-0.008664106111973524,0.008811446651816369,0.002453837486355264,10.859519958496094,1.0050129820751981e-05,0.0028774061719037173,3.88325825042557e-05,-0.00364892347715795,0.003711696900427341,0.0005166005664453113,11.820160865783691,-1.1967829637110354e-07,0.0009352600644921674,-1.11182856699088e-06,-0.001183123479131609,0.0011972184642218056
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,Multiclass_Drone_Audio\unknown\5-194930-A-10.wav,al_emadi,5-194930-A-10,1.0216875,0.0004965680392873706,3.7926185131073,-0.0020090868939341244,0.012401307853671661,-0.0008423012623097748,-0.004521353216841817,0.003844308806583286,0.012224601227395335,5.8755106925964355,-0.0033517372752567523,0.06224327595655792,-1.9842103029077407e-05,-0.03533311486244201,0.0025014811428263808,0.13327127710271258,6.683404445648193,-0.006591719000116696,0.14731544270914834,-1.6321185285050888e-05,-0.03912721052765842,0.0024542129365727333,0.8461701517349433,7.497072219848633,-0.0002858009514713297,0.26451377716136176,-4.720408439129464e-10,-0.001802009239327162,0.03025284260511389,0.006440065289259238,8.49278450012207,-3.7110814833557786e-06,0.016372872535182024,-8.725200189019233e-07,-0.0008863944094628085,0.0007500998675823231,0.0013973366064022013,9.204134941101074,2.7224893065350416e-06,0.005402024234267485,5.7145538301384136e-12,-0.00027465255989227443,0.0003195863158907742
F:\Seminario\Seminario-Clustering\datasets\davi\Al Emadi (2019)\Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,Multiclass_Drone_Audio\unknown\4-172732-A-364.wav,al_emadi,4-172732-A-364,0.95975,0.02547076781387727,7.952479362487793,-0.00213284961750611,0.18703443272498452,-0.005291213747113943,-0.24214022159576415,0.22470396757125857,0.44650920693704377,8.263641357421875,0.0036620369026734985,0.7831396889836861,0.027123622596263885,-1.029617190361023,1.0564481496810914,0.17039722022456008,8.906702041625977,0.019683584115504582,0.3463581246803879,0.009682878851890564,-0.41824182868003845,0.46366457641124725,0.16823775397389854,9.88823413848877,-0.004234418420403818,0.24546058122152317,0.0001743926841299981,-0.31872403025627133,0.29825987517833713,0.15244215164602404,10.90983772277832,-0.0013231313209932849,0.16583562268280602,0.002311718533746898,-0.21541205793619156,0.20982534438371656,0.03694289940459633,11.879313468933105,-0.00031688466414351804,0.0578325185922469,-0.0003187857655575499,-0.07403426840901375,0.0736682824790478
